id,gold_pattern,epoch4_pred8way,epoch4_gold_q,epoch4_gold_rank,epoch4_top1_margin,epoch4_gold_margin,epoch4_norm_entropy,epoch4_eff_support,epoch5_pred8way,epoch5_gold_q,epoch5_gold_rank,epoch5_top1_margin,epoch5_gold_margin,epoch5_norm_entropy,epoch5_eff_support,v1_pred8way,v1_gold_q,v1_gold_rank,v1_top1_margin,v1_gold_margin,v1_norm_entropy,v1_eff_support,v2_pred8way,v2_gold_q,v2_gold_rank,v2_top1_margin,v2_gold_margin,v2_norm_entropy,v2_eff_support,v3_pred8way,v3_gold_q,v3_gold_rank,v3_top1_margin,v3_gold_margin,v3_norm_entropy,v3_eff_support
kk_grpo_v3_final_holdout_000042,NKK,NNK,0.029017,2,3.4611,-3.4611,0.181717,1.4592,NNK,0.040377,2,3.1368,-3.1368,0.161927,1.4003,NNK,0.005611,2,5.1725,-5.1725,0.033474,1.0721,NNK,0.015678,2,4.1372,-4.1372,0.047650,1.1042,NNK,0.003369,2,5.6865,-5.6865,0.022542,1.0480
kk_grpo_v3_final_holdout_000043,KNK,KNK,0.825361,1,2.1250,2.1250,0.299946,1.8659,KNK,0.931434,1,2.8750,2.8750,0.142084,1.3437,KNK,0.964048,1,3.8750,3.8750,0.087080,1.1985,KNK,0.985798,1,4.2500,4.2500,0.036252,1.0783,KNK,0.993815,1,5.1250,5.1250,0.018722,1.0397
kk_grpo_v3_final_holdout_000044,KKK,KKK,0.992594,1,5.1250,5.1250,0.022825,1.0486,KKK,0.999027,1,7.2499,7.2499,0.003995,1.0083,KKK,0.999843,1,8.8750,8.8750,0.000766,1.0016,KKK,0.999900,1,9.6248,9.6248,0.000527,1.0011,KKK,0.999886,1,9.1484,9.1484,0.000568,1.0012
kk_grpo_v3_final_holdout_000045,NKN,NKN,0.999933,1,10.2514,10.2514,0.000372,1.0008,NKN,0.999984,1,11.7500,11.7500,0.000101,1.0002,NKN,0.999942,1,9.8750,9.8750,0.000313,1.0007,NKN,0.999994,1,12.7504,12.7504,0.000041,1.0001,NKN,0.999989,1,11.8126,11.8126,0.000068,1.0001
kk_grpo_v3_final_holdout_000046,KNN,KNN,0.590291,1,0.5511,0.5511,0.420662,2.3983,KNN,0.576470,1,0.4448,0.4448,0.408676,2.3392,NKK,0.163025,2,1.6265,-1.6265,0.237297,1.6379,KNN,0.853623,1,2.1521,2.1521,0.245383,1.6657,KNN,0.775235,1,1.2491,1.2491,0.263959,1.7313
kk_grpo_v3_final_holdout_000047,KKK,KKK,0.954238,1,4.2387,4.2387,0.122803,1.2909,KKK,0.976148,1,4.0178,4.0178,0.064105,1.1426,KKK,0.992926,1,5.1589,5.1589,0.022331,1.0475,KKK,0.988722,1,5.0759,5.0759,0.034308,1.0739,KKK,0.993757,1,5.7500,5.7500,0.021348,1.0454
kk_grpo_v3_final_holdout_000048,KKK,KKK,0.997569,1,6.9034,6.9034,0.009816,1.0206,KKK,0.999815,1,9.3500,9.3500,0.000955,1.0020,KKK,0.999978,1,11.3042,11.3042,0.000138,1.0003,KKK,0.999437,1,7.5006,7.5006,0.002326,1.0048,KKK,0.999998,1,13.9119,13.9119,0.000014,1.0000
kk_grpo_v3_final_holdout_000049,KKN,KNK,0.228509,2,1.1249,-1.1249,0.376340,2.1871,KKN,0.788212,1,1.3748,1.3748,0.271730,1.7595,KKN,0.993718,1,5.2493,5.2493,0.020017,1.0425,KKN,0.966423,1,3.3742,3.3742,0.071983,1.1615,KKN,0.993340,1,5.1238,5.1238,0.020529,1.0436
kk_grpo_v3_final_holdout_000050,KNN,KNN,0.812096,1,2.0695,2.0695,0.305769,1.8886,KNN,0.816203,1,2.0745,2.0745,0.293971,1.8428,KNN,0.936028,1,3.0945,3.0945,0.139381,1.3362,KNN,0.976334,1,4.3822,4.3822,0.063107,1.1402,KNN,0.961524,1,3.6909,3.6909,0.098963,1.2285
kk_grpo_v3_final_holdout_000051,KNK,KNK,0.689908,1,0.8544,0.8544,0.332624,1.9971,KKK,0.094997,2,2.2537,-2.2537,0.152631,1.3735,KKK,0.095153,2,2.2510,-2.2510,0.155642,1.3822,KKK,0.052828,2,2.8799,-2.8799,0.118260,1.2788,KKK,0.106201,2,2.1283,-2.1283,0.169487,1.4225
kk_grpo_v3_final_holdout_000052,KKN,KKN,0.685099,1,1.1270,1.1270,0.435512,2.4735,KKN,0.874122,1,2.1427,2.1427,0.221168,1.5839,KKN,0.849525,1,1.9751,1.9751,0.247307,1.6724,KKN,0.798063,1,1.9512,1.9512,0.309285,1.9024,KKN,0.995238,1,6.2576,6.2576,0.017643,1.0374
kk_grpo_v3_final_holdout_000053,NKN,NNN,0.424520,2,0.2572,-0.2572,0.387338,2.2377,NKN,0.775892,1,1.3636,1.3636,0.306535,1.8916,NKN,0.880138,1,1.9998,1.9998,0.178751,1.4502,NKN,0.847328,1,1.7457,1.7457,0.216500,1.5686,NKN,0.666811,1,0.7524,0.7524,0.347562,2.0601
kk_grpo_v3_final_holdout_000054,KNK,NNK,0.199446,2,1.3529,-1.3529,0.304425,1.8833,NNK,0.147704,2,1.7503,-1.7503,0.208784,1.5437,NNK,0.147895,2,1.7350,-1.7350,0.235801,1.6329,KNK,0.622581,1,0.5042,0.5042,0.323190,1.9583,NNK,0.244761,2,1.1227,-1.1227,0.277813,1.7819
kk_grpo_v3_final_holdout_000055,KNN,KNN,0.981874,1,3.9947,3.9947,0.043769,1.0953,KNN,0.957902,1,3.1250,3.1250,0.083990,1.1908,KNN,0.974160,1,3.6307,3.6307,0.057798,1.1277,KNN,0.970682,1,3.5000,3.5000,0.063688,1.1416,KNN,0.817560,1,1.5000,1.5000,0.228572,1.6085
kk_grpo_v3_final_holdout_000056,NNK,NNK,0.692270,1,1.2925,1.2925,0.417610,2.3831,NNK,0.861765,1,2.5007,2.5007,0.245888,1.6675,NNK,0.971937,1,3.7506,3.7506,0.068406,1.1529,NNK,0.976827,1,4.1382,4.1382,0.060322,1.1336,NNK,0.994037,1,5.7506,5.7506,0.019681,1.0418
kk_grpo_v3_final_holdout_000057,NKK,NKN,0.424847,2,0.3028,-0.3028,0.328237,1.9789,NKK,0.854142,1,1.7676,1.7676,0.199866,1.5153,NKK,0.973936,1,3.6215,3.6215,0.058167,1.1286,NKK,0.781846,1,1.2765,1.2765,0.252309,1.6899,NKK,0.962653,1,3.2499,3.2499,0.076746,1.1730
kk_grpo_v3_final_holdout_000058,NKN,NKN,0.952073,1,3.2500,3.2500,0.108080,1.2520,NKN,0.672577,1,0.7500,0.7500,0.328291,1.9791,NKN,0.893042,1,2.1250,2.1250,0.164632,1.4082,NKN,0.970498,1,3.5000,3.5000,0.064579,1.1437,NKN,0.932172,1,2.6250,2.6250,0.120321,1.2843
kk_grpo_v3_final_holdout_000059,KKN,KKN,0.562142,1,0.2545,0.2545,0.335828,2.0104,KKN,0.817666,1,1.5626,1.5626,0.248311,1.6759,NKN,0.407323,2,0.3664,-0.3664,0.339100,2.0241,KKN,0.679633,1,0.9123,0.9123,0.366195,2.1414,KKN,0.622713,1,0.6013,0.6013,0.375808,2.1847
kk_grpo_v3_final_holdout_000060,NKK,NKK,0.925199,1,2.6247,2.6247,0.142242,1.3442,NKK,0.996494,1,5.7504,5.7504,0.011791,1.0248,NKK,0.940236,1,2.7571,2.7571,0.109146,1.2548,NKK,0.994078,1,5.1250,5.1250,0.017487,1.0370,NKK,0.997759,1,6.1250,6.1250,0.007781,1.0163
kk_grpo_v3_final_holdout_000061,KKN,KNN,0.348684,2,0.2764,-0.2764,0.500786,2.8331,KKN,0.970686,1,3.5699,3.5699,0.067140,1.1498,KKN,0.851964,1,1.8503,1.8503,0.224049,1.5934,KNN,0.010987,2,4.4948,-4.4948,0.044615,1.0972,KKN,0.924143,1,2.5549,2.5549,0.136753,1.3289
kk_grpo_v3_final_holdout_000062,NNK,NKK,0.240150,2,0.8115,-0.8115,0.520442,2.9513,NKK,0.345562,2,0.5987,-0.5987,0.369514,2.1563,NKK,0.266967,2,1.0007,-1.0007,0.297960,1.8582,NNK,0.622447,1,0.5263,0.5263,0.340764,2.0311,NNK,0.920035,1,2.5101,2.5101,0.143403,1.3474
kk_grpo_v3_final_holdout_000063,KNN,KNN,0.992397,1,4.8748,4.8748,0.021573,1.0459,KNN,0.979671,1,3.8752,3.8752,0.047765,1.1044,KNN,0.979661,1,3.8748,3.8748,0.047801,1.1045,KNN,0.987566,1,4.3758,4.3758,0.032225,1.0693,KNN,0.924149,1,2.5003,2.5003,0.129187,1.3082
kk_grpo_v3_final_holdout_000064,NKK,NKK,0.651211,1,0.6250,0.6250,0.311983,1.9131,NKK,0.976930,1,3.7500,3.7500,0.053113,1.1168,NKK,0.866947,1,1.8750,1.8750,0.189018,1.4815,NKK,0.997510,1,6.0000,6.0000,0.008430,1.0177,NKK,0.946244,1,2.8750,2.8750,0.101913,1.2361
kk_grpo_v3_final_holdout_000065,KKN,KKN,0.999985,1,11.2519,11.2519,0.000090,1.0002,KKN,0.999999,1,14.3754,14.3754,0.000009,1.0000,KKN,0.999999,1,14.1259,14.1259,0.000009,1.0000,KKN,0.999998,1,13.3758,13.3758,0.000013,1.0000,KKN,0.999998,1,13.4998,13.4998,0.000011,1.0000
kk_grpo_v3_final_holdout_000066,NKK,NKN,0.212503,2,1.1250,-1.1250,0.423771,2.4138,NKK,0.876410,1,2.3750,2.3750,0.218128,1.5739,NKK,0.985125,1,4.6250,4.6250,0.041851,1.0909,NKK,0.872247,1,2.0000,2.0000,0.200273,1.5166,NKK,0.983664,1,4.6186,4.6186,0.045431,1.0991
kk_grpo_v3_final_holdout_000067,NKN,NNK,0.429717,2,0.2503,-0.2503,0.370527,2.1608,NNK,0.318321,2,0.7501,-0.7501,0.322264,1.9545,NNK,0.268309,2,1.0013,-1.0013,0.285159,1.8094,NKN,0.705596,1,0.8750,0.8750,0.292590,1.8375,NKN,0.499531,1,0.1428,0.1428,0.431403,2.4524
kk_grpo_v3_final_holdout_000068,NKN,NKN,0.966751,1,3.3751,3.3751,0.070749,1.1585,NKN,0.997712,1,6.3749,6.3749,0.008765,1.0184,NKN,0.999257,1,7.5001,7.5001,0.003227,1.0067,NKN,0.999810,1,9.0002,9.0002,0.000943,1.0020,NKN,0.998205,1,6.5007,6.5007,0.006830,1.0143
kk_grpo_v3_final_holdout_000069,NKN,NKN,0.932281,1,2.6265,2.6265,0.120130,1.2838,NKN,0.985928,1,4.2501,4.2501,0.035614,1.0769,NKN,0.999729,1,8.2500,8.2500,0.001226,1.0026,NKN,0.999562,1,7.7500,7.7500,0.001861,1.0039,NKN,0.998897,1,6.8749,6.8749,0.004287,1.0090
kk_grpo_v3_final_holdout_000070,KKN,KKN,0.346010,1,0.4063,0.4063,0.741406,4.6726,KKN,0.692042,1,1.3949,1.3949,0.465568,2.6330,KKN,0.844234,1,1.7589,1.7589,0.231047,1.6168,KKN,0.612403,1,0.4856,0.4856,0.347206,2.0585,NKK,0.323781,2,0.3429,-0.3429,0.526654,2.9896
kk_grpo_v3_final_holdout_000071,KKK,KKK,0.992360,1,4.8917,4.8917,0.022079,1.0470,KKK,0.998027,1,6.2552,6.2552,0.007002,1.0147,KKK,0.999360,1,7.3916,7.3916,0.002633,1.0055,KKK,0.999358,1,7.3784,7.3784,0.002620,1.0055,KKK,0.999874,1,9.5336,9.5336,0.000657,1.0014
kk_grpo_v3_final_holdout_000072,NNK,NNK,0.753191,1,1.1845,1.1845,0.300388,1.8676,NNK,0.754616,1,1.3255,1.3255,0.324681,1.9643,NNK,0.994573,1,5.2922,5.2922,0.017077,1.0361,NNK,0.914830,1,2.5349,2.5349,0.157429,1.3873,NNK,0.985822,1,4.2580,4.2580,0.036430,1.0787
kk_grpo_v3_final_holdout_000073,NKK,NNK,0.410901,2,0.0633,-0.0633,0.487736,2.7572,NKK,0.901562,1,2.5913,2.5913,0.184280,1.4670,NKK,0.985702,1,4.8750,4.8750,0.041038,1.0891,NKK,0.996331,1,5.9986,5.9986,0.012842,1.0271,NKK,0.876670,1,2.0000,2.0000,0.190031,1.4846
