id,gt_pattern,same_count,different_count,and_count,or_count,not_count,person_is_count,expression_nodes,expression_depth,top_ops,top_ops_multiset,op_signature,statement_chars,epoch4_pred,epoch4_correct,epoch5_pred,epoch5_correct,v1_pred,v1_correct,v2_pred,v2_correct,v3_pred,v3_correct
row_0010,KKK,0,1,0,1,1,3,6,3,person_is+person_is+or,or|person_is|person_is,person_is:3+different:1+not:1+or:1,119,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0011,KNN,2,1,1,1,0,2,7,3,same+person_is+and,and|person_is|same,person_is:2+same:2+different:1+and:1+or:1,161,NKN,0,NKN,0,NKN,0,KNN,1,KNN,1
row_0012,NNN,1,5,5,0,0,2,13,3,and+and+and,and|and|and,person_is:2+same:1+different:5+and:5,304,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0013,NNK,1,2,2,1,2,3,11,3,and+and+or,and|and|or,person_is:3+same:1+different:2+not:2+and:2+or:1,230,NNK,1,NNK,1,NNK,1,NNK,1,KNN,0
row_0014,NNN,0,3,1,1,0,2,7,3,or+person_is+different,different|or|person_is,person_is:2+different:3+and:1+or:1,169,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0015,KNK,0,2,0,0,3,1,6,3,not+not+person_is,not|not|person_is,person_is:1+different:2+not:3,143,NKN,0,NKN,0,NKK,0,KNK,1,NKK,0
row_0016,KNK,2,5,2,2,0,0,11,3,or+and+different,and|different|or,same:2+different:5+and:2+or:2,294,KNK,1,KNK,1,KNK,1,KNK,1,KNK,1
row_0017,KKN,2,0,0,0,1,1,4,2,not+person_is+same,not|person_is|same,person_is:1+same:2+not:1,104,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0018,NKN,1,0,0,0,2,2,5,3,person_is+not+person_is,not|person_is|person_is,person_is:2+same:1+not:2,107,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0019,KKN,2,1,0,1,1,1,6,3,not+different+same,different|not|same,person_is:1+same:2+different:1+not:1+or:1,149,KNN,0,KKN,1,KKN,1,KKN,1,KKN,1
row_0020,KKK,3,1,0,1,0,0,5,2,or+same+same,or|same|same,same:3+different:1+or:1,148,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0021,NNN,2,1,4,0,0,4,11,3,person_is+and+and,and|and|person_is,person_is:4+same:2+different:1+and:4,218,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0022,KNK,1,1,2,0,1,3,8,3,not+and+person_is,and|not|person_is,person_is:3+same:1+different:1+not:1+and:2,163,KNK,1,KNK,1,KNK,1,KNK,1,KNK,1
row_0023,NKK,2,4,1,4,2,2,15,3,and+or+or,and|or|or,person_is:2+same:2+different:4+not:2+and:1+or:4,345,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0024,KNN,1,2,0,1,1,1,6,3,different+not+same,different|not|same,person_is:1+same:1+different:2+not:1+or:1,158,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0025,NNK,2,1,0,2,0,2,7,3,same+or+different,different|or|same,person_is:2+same:2+different:1+or:2,161,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0026,NNK,3,2,1,2,2,1,11,3,not+not+or,not|not|or,person_is:1+same:3+different:2+not:2+and:1+or:2,264,NKK,0,NKK,0,NKK,0,NKK,0,NKK,0
row_0027,NNK,2,0,0,1,1,2,6,3,person_is+same+or,or|person_is|same,person_is:2+same:2+not:1+or:1,135,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0028,NNK,1,3,3,0,1,2,10,3,and+and+and,and|and|and,person_is:2+same:1+different:3+not:1+and:3,229,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0029,NKK,2,1,0,1,1,1,6,3,same+different+or,different|or|same,person_is:1+same:2+different:1+not:1+or:1,155,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0030,KKK,2,0,0,0,2,1,5,3,not+same+person_is,not|person_is|same,person_is:1+same:2+not:2,122,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0031,KNK,4,1,1,2,0,1,9,3,same+and+or,and|or|same,person_is:1+same:4+different:1+and:1+or:2,226,KNK,1,KNK,1,KNK,1,KNK,1,KNK,1
row_0032,NNK,1,2,0,0,2,0,5,3,different+same+not,different|not|same,same:1+different:2+not:2,144,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0033,NNN,1,4,2,1,0,1,9,3,or+different+and,and|different|or,person_is:1+same:1+different:4+and:2+or:1,227,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0034,KKN,0,3,0,0,1,0,4,2,not+different+different,different|different|not,different:3+not:1,122,KKN,1,KKN,1,NKK,0,KKN,1,KKN,1
row_0035,NNN,0,4,0,1,0,0,5,2,or+different+different,different|different|or,different:4+or:1,156,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0036,KKN,0,2,0,0,1,1,4,2,not+person_is+different,different|not|person_is,person_is:1+different:2+not:1,106,NNK,0,KKN,1,NNN,0,NNK,0,KKN,1
row_0037,KNN,2,0,2,0,0,3,7,3,person_is+person_is+and,and|person_is|person_is,person_is:3+same:2+and:2,138,NKK,0,NKK,0,NKK,0,KNN,1,NKN,0
row_0038,KKK,2,1,0,0,1,0,4,2,same+same+not,not|same|same,same:2+different:1+not:1,118,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0039,NKK,1,2,1,0,1,1,6,3,same+person_is+not,not|person_is|same,person_is:1+same:1+different:2+not:1+and:1,152,NKN,0,NKK,1,NKK,1,NKK,1,NKK,1
row_0040,NNN,0,4,2,0,0,1,7,3,different+and+different,and|different|different,person_is:1+different:4+and:2,186,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0041,KKK,2,0,0,4,0,5,11,3,or+same+or,or|or|same,person_is:5+same:2+or:4,204,KKN,0,KKN,0,KKK,1,KKN,0,KKK,1
row_0042,NKK,1,3,3,4,0,6,17,3,and+and+or,and|and|or,person_is:6+same:1+different:3+and:3+or:4,335,NNK,0,NNK,0,NNK,0,NNK,0,NNK,0
row_0043,KNK,2,3,1,1,1,0,8,3,and+or+different,and|different|or,same:2+different:3+not:1+and:1+or:1,215,KNK,1,KNK,1,KNK,1,KNK,1,KNK,1
row_0044,KKK,2,1,0,1,0,1,5,2,or+person_is+same,or|person_is|same,person_is:1+same:2+different:1+or:1,132,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0045,NKN,3,0,0,0,1,0,4,2,same+not+same,not|same|same,same:3+not:1,116,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0046,KNN,1,1,0,1,0,2,5,2,person_is+or+person_is,or|person_is|person_is,person_is:2+same:1+different:1+or:1,114,KNN,1,KNN,1,NKK,0,KNN,1,KNN,1
row_0047,KKK,6,2,1,6,0,2,17,3,or+and+or,and|or|or,person_is:2+same:6+different:2+and:1+or:6,404,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0048,KKK,3,1,0,1,0,0,5,2,same+same+or,or|same|same,same:3+different:1+or:1,146,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0049,KKN,2,1,0,1,0,1,5,2,different+or+person_is,different|or|person_is,person_is:1+same:2+different:1+or:1,129,KNK,0,KKN,1,KKN,1,KKN,1,KKN,1
row_0050,KNN,3,2,2,1,0,1,9,3,or+and+same,and|or|same,person_is:1+same:3+different:2+and:2+or:1,222,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0051,KNK,2,0,1,1,2,3,9,3,or+not+person_is,not|or|person_is,person_is:3+same:2+not:2+and:1+or:1,189,KNK,1,KKK,0,KKK,0,KKK,0,KKK,0
row_0052,KKN,0,2,1,1,0,3,7,2,or+person_is+and,and|or|person_is,person_is:3+different:2+and:1+or:1,145,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0053,NKN,1,0,2,0,1,4,8,3,and+not+person_is,and|not|person_is,person_is:4+same:1+not:1+and:2,148,NNN,0,NKN,1,NKN,1,NKN,1,NKN,1
row_0054,KNK,1,2,0,2,0,2,7,3,different+person_is+or,different|or|person_is,person_is:2+same:1+different:2+or:2,161,NNK,0,NNK,0,NNK,0,KNK,1,NNK,0
row_0055,KNN,1,0,0,0,2,2,5,3,person_is+person_is+not,not|person_is|person_is,person_is:2+same:1+not:2,109,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0056,NNK,3,1,5,0,0,4,13,3,and+and+person_is,and|and|person_is,person_is:4+same:3+different:1+and:5,257,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0057,NKK,4,2,0,3,2,0,11,3,same+or+not,not|or|same,same:4+different:2+not:2+or:3,282,NKN,0,NKK,1,NKK,1,NKK,1,NKK,1
row_0058,NKN,1,0,1,0,0,3,5,2,and+person_is+person_is,and|person_is|person_is,person_is:3+same:1+and:1,96,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0059,KKN,1,0,1,1,2,4,9,3,same+or+and,and|or|same,person_is:4+same:1+not:2+and:1+or:1,168,KKN,1,KKN,1,NKN,0,KKN,1,NKN,0
row_0060,NKK,2,1,0,0,1,0,4,2,same+not+different,different|not|same,same:2+different:1+not:1,120,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0061,KKN,1,3,2,1,1,2,10,3,and+same+not,and|not|same,person_is:2+same:1+different:3+not:1+and:2+or:1,232,KNN,0,KKN,1,KKN,1,KNN,0,KKN,1
row_0062,NNK,3,2,0,2,2,0,9,3,not+same+not,not|not|same,same:3+different:2+not:2+or:2,234,NKK,0,NKK,0,NKK,0,NNK,1,NNK,1
row_0063,KNN,2,0,0,0,1,1,4,2,not+same+person_is,not|person_is|same,person_is:1+same:2+not:1,102,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0064,NKK,0,1,0,0,1,2,4,2,person_is+different+not,different|not|person_is,person_is:2+different:1+not:1,87,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0065,KKN,2,0,0,0,2,1,5,2,not+not+same,not|not|same,person_is:1+same:2+not:2,121,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0066,NKK,2,3,2,0,0,0,7,3,and+same+same,and|same|same,same:2+different:3+and:2,192,NKN,0,NKK,1,NKK,1,NKK,1,NKK,1
row_0067,NKN,2,4,2,2,0,1,11,3,and+and+same,and|and|same,person_is:1+same:2+different:4+and:2+or:2,275,NNK,0,NNK,0,NNK,0,NKN,1,NKN,1
row_0068,NKN,3,2,0,2,0,0,7,3,same+or+different,different|or|same,same:3+different:2+or:2,198,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0069,NKN,3,0,1,0,0,1,5,2,and+person_is+same,and|person_is|same,person_is:1+same:3+and:1,126,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0070,KKN,3,3,3,2,0,2,13,3,or+or+and,and|or|or,person_is:2+same:3+different:3+and:3+or:2,301,KNK,0,KKN,1,KKN,1,KKN,1,KKN,1
row_0071,KKK,0,3,0,1,2,1,7,3,not+not+person_is,not|not|person_is,person_is:1+different:3+not:2+or:1,174,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0072,NNK,2,1,1,0,0,1,5,2,and+person_is+different,and|different|person_is,person_is:1+same:2+different:1+and:1,130,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0073,NKK,3,1,2,1,1,2,10,3,and+not+or,and|not|or,person_is:2+same:3+different:1+not:1+and:2+or:1,224,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0074,KKN,1,3,1,1,1,1,8,3,and+different+not,and|different|not,person_is:1+same:1+different:3+not:1+and:1+or:1,198,NKN,0,NKN,0,NKN,0,NKN,0,NKN,0
row_0075,NKK,2,1,0,0,2,0,5,3,not+different+same,different|not|same,same:2+different:1+not:2,142,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0076,NNN,1,2,0,2,2,2,9,3,or+not+not,not|not|or,person_is:2+same:1+different:2+not:2+or:2,205,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0077,KKK,2,3,2,1,2,1,11,3,not+and+person_is,and|not|person_is,person_is:1+same:2+different:3+not:2+and:2+or:1,264,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0078,KNK,2,1,1,1,1,2,8,3,different+and+not,and|different|not,person_is:2+same:2+different:1+not:1+and:1+or:1,180,KNN,0,KNK,1,KNN,0,KNK,1,KNK,1
row_0079,NKK,2,3,2,1,1,1,10,3,and+person_is+not,and|not|person_is,person_is:1+same:2+different:3+not:1+and:2+or:1,247,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0080,NKK,1,2,0,1,0,1,5,2,different+or+person_is,different|or|person_is,person_is:1+same:1+different:2+or:1,132,KNK,0,KKN,0,KKN,0,KKN,0,KKN,0
row_0081,NKK,2,0,0,0,1,1,4,2,same+person_is+not,not|person_is|same,person_is:1+same:2+not:1,106,NNK,0,NNK,0,NNK,0,NNK,0,NNK,0
row_0082,KKN,2,3,1,2,0,1,9,3,or+and+same,and|or|same,person_is:1+same:2+different:3+and:1+or:2,230,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0083,NKN,2,0,2,1,0,4,9,3,person_is+same+and,and|person_is|same,person_is:4+same:2+and:2+or:1,172,NKN,1,KKK,0,NKN,1,NKN,1,NKN,1
row_0084,NNK,1,2,0,1,1,1,6,3,different+different+or,different|different|or,person_is:1+same:1+different:2+not:1+or:1,151,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0085,NKK,1,2,3,0,1,3,10,3,and+and+and,and|and|and,person_is:3+same:1+different:2+not:1+and:3,212,NNK,0,NNK,0,NNK,0,NNK,0,NNK,0
row_0086,KKK,1,0,0,0,3,2,6,3,not+person_is+not,not|not|person_is,person_is:2+same:1+not:3,125,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0087,NNN,1,1,0,2,1,3,8,3,or+person_is+different,different|or|person_is,person_is:3+same:1+different:1+not:1+or:2,168,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0088,NNK,1,3,3,0,0,2,9,3,and+same+and,and|and|same,person_is:2+same:1+different:3+and:3,210,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0089,NNN,0,2,0,0,0,1,3,1,different+person_is+different,different|different|person_is,person_is:1+different:2,88,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0090,NNN,0,1,1,0,0,3,5,2,person_is+and+person_is,and|person_is|person_is,person_is:3+different:1+and:1,98,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0091,KKN,3,2,0,2,0,0,7,2,different+or+or,different|or|or,same:3+different:2+or:2,196,KNN,0,KKN,1,KKN,1,KKN,1,KKN,1
row_0092,NKN,1,1,0,0,1,1,4,2,same+person_is+not,not|person_is|same,person_is:1+same:1+different:1+not:1,103,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0093,KNK,2,1,3,0,0,3,9,3,same+and+different,and|different|same,person_is:3+same:2+different:1+and:3,185,NKK,0,NKK,0,NKK,0,KNK,1,KKK,0
row_0094,NNN,1,2,2,0,0,2,7,3,and+different+person_is,and|different|person_is,person_is:2+same:1+different:2+and:2,162,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0095,KNN,1,3,1,0,3,0,8,3,different+and+not,and|different|not,same:1+different:3+not:3+and:1,213,KNN,1,KNN,1,NNN,0,KNN,1,NNN,0
row_0096,NNK,3,3,2,2,0,1,11,3,and+and+or,and|and|or,person_is:1+same:3+different:3+and:2+or:2,272,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0097,NNK,0,1,1,0,1,3,6,3,and+person_is+different,and|different|person_is,person_is:3+different:1+not:1+and:1,115,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0098,KKN,0,1,0,0,2,2,5,3,different+person_is+not,different|not|person_is,person_is:2+different:1+not:2,109,KKN,1,KKN,1,NNN,0,KKN,1,NNN,0
row_0099,NKN,2,3,1,2,1,1,10,3,different+or+and,and|different|or,person_is:1+same:2+different:3+not:1+and:1+or:2,246,NKN,1,NKN,1,NKN,1,NNN,0,NNN,0
row_0100,NKK,1,2,1,1,0,2,7,2,different+or+and,and|different|or,person_is:2+same:1+different:2+and:1+or:1,162,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0101,KKN,2,1,0,1,2,1,7,3,or+same+not,not|or|same,person_is:1+same:2+different:1+not:2+or:1,172,KNK,0,KNK,0,KNK,0,KNK,0,KNN,0
row_0102,KKK,1,1,0,1,0,2,5,2,person_is+or+same,or|person_is|same,person_is:2+same:1+different:1+or:1,118,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0103,KNN,1,2,0,0,1,0,4,2,different+not+same,different|not|same,same:1+different:2+not:1,120,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0104,KKK,3,2,0,2,0,0,7,3,same+or+same,or|same|same,same:3+different:2+or:2,194,NNK,0,NKK,0,NKK,0,NKK,0,INVALID,0
row_0105,KNN,2,3,2,0,3,0,10,3,and+and+same,and|and|same,same:2+different:3+not:3+and:2,254,KNN,1,KNN,1,KNN,1,NNK,0,KNN,1
row_0106,NKN,2,0,1,1,1,3,8,3,same+same+and,and|same|same,person_is:3+same:2+not:1+and:1+or:1,167,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0107,NNK,2,3,2,0,0,0,7,3,same+and+different,and|different|same,same:2+different:3+and:2,196,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0108,KNN,1,3,1,0,0,0,5,2,different+same+and,and|different|same,same:1+different:3+and:1,151,NKN,0,KNN,1,KNN,1,KNN,1,KNN,1
row_0109,NKN,1,1,1,0,1,2,6,3,same+and+person_is,and|person_is|same,person_is:2+same:1+different:1+not:1+and:1,135,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0110,KKK,0,1,1,0,1,3,6,3,person_is+not+person_is,not|person_is|person_is,person_is:3+different:1+not:1+and:1,117,NNN,0,KKK,1,KKK,1,KKK,1,KKK,1
row_0111,KKK,1,0,0,0,0,2,3,1,person_is+same+person_is,person_is|person_is|same,person_is:2+same:1,66,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0112,KNN,1,1,1,0,0,2,5,2,person_is+and+same,and|person_is|same,person_is:2+same:1+different:1+and:1,114,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0113,NKN,1,0,1,0,1,3,6,3,same+person_is+and,and|person_is|same,person_is:3+same:1+not:1+and:1,116,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0114,NKK,1,3,1,1,2,1,9,3,and+person_is+not,and|not|person_is,person_is:1+same:1+different:3+not:2+and:1+or:1,219,NKK,1,NKK,1,NKK,1,NKK,1,NKN,0
row_0115,NKN,3,1,0,2,2,1,9,3,same+or+not,not|or|same,person_is:1+same:3+different:1+not:2+or:2,217,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0116,NNN,0,2,0,1,1,2,6,3,person_is+not+different,different|not|person_is,person_is:2+different:2+not:1+or:1,139,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0117,KNN,2,0,0,0,1,1,4,2,not+same+person_is,not|person_is|same,person_is:1+same:2+not:1,105,NKK,0,NKK,0,NKK,0,KNN,1,NKK,0
row_0118,KNN,2,3,3,2,1,3,14,3,or+and+and,and|and|or,person_is:3+same:2+different:3+not:1+and:3+or:2,305,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0119,NNK,2,2,1,1,0,1,7,3,different+or+different,different|different|or,person_is:1+same:2+different:2+and:1+or:1,181,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0120,KKN,2,2,1,2,0,2,9,3,or+different+person_is,different|or|person_is,person_is:2+same:2+different:2+and:1+or:2,211,KKN,1,KKN,1,KKN,1,KKN,1,KKN,1
row_0121,KNK,2,3,1,1,3,0,10,3,not+not+and,and|not|not,same:2+different:3+not:3+and:1+or:1,253,NNK,0,NNK,0,NNK,0,NNK,0,NNK,0
row_0122,NKK,1,1,1,0,2,2,7,3,not+and+same,and|not|same,person_is:2+same:1+different:1+not:2+and:1,152,NKK,1,KKN,0,NKK,1,NKK,1,NKK,1
row_0123,NKK,1,0,1,0,0,3,5,2,person_is+same+and,and|person_is|same,person_is:3+same:1+and:1,93,NKK,1,KNK,0,NKK,1,KNK,0,KNK,0
row_0124,NKK,0,1,2,0,2,4,9,3,and+and+not,and|and|not,person_is:4+different:1+not:2+and:2,165,NKN,0,NKK,1,NKK,1,NKK,1,NKK,1
row_0125,NKN,2,1,0,2,2,2,9,3,different+or+or,different|or|or,person_is:2+same:2+different:1+not:2+or:2,203,KKN,0,KKN,0,KKN,0,KKN,0,KKN,0
row_0126,KNN,3,0,1,1,0,2,7,3,same+or+person_is,or|person_is|same,person_is:2+same:3+and:1+or:1,160,NNK,0,NNK,0,NNK,0,KKN,0,NNK,0
row_0127,KNN,2,1,2,1,1,3,10,3,or+same+and,and|or|same,person_is:3+same:2+different:1+not:1+and:2+or:1,210,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0128,KNK,0,2,0,0,1,1,4,2,different+not+different,different|different|not,person_is:1+different:2+not:1,106,NNN,0,KNK,1,NNN,0,KNK,1,KNK,1
row_0129,NKN,0,3,1,1,0,2,7,3,and+different+person_is,and|different|person_is,person_is:2+different:3+and:1+or:1,162,NNK,0,NNK,0,NNK,0,NNK,0,NNN,0
row_0130,KKN,2,2,1,1,1,1,8,3,or+different+and,and|different|or,person_is:1+same:2+different:2+not:1+and:1+or:1,194,KNN,0,KKN,1,KKN,1,KKN,1,KKN,1
row_0131,KKN,4,1,2,1,1,1,10,3,or+different+and,and|different|or,person_is:1+same:4+different:1+not:1+and:2+or:1,239,KNK,0,KNK,0,KNK,0,KNK,0,KNK,0
row_0132,NKK,1,1,1,1,1,3,8,3,same+not+and,and|not|same,person_is:3+same:1+different:1+not:1+and:1+or:1,163,NKN,0,NKK,1,NKK,1,NKK,1,NKN,0
row_0133,NNN,1,2,1,0,0,1,5,2,and+different+different,and|different|different,person_is:1+same:1+different:2+and:1,129,NNN,1,NNN,1,NNN,1,NNN,1,NNN,1
row_0134,NNK,2,3,0,2,0,0,7,3,same+same+or,or|same|same,same:2+different:3+or:2,202,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0135,KKK,3,2,1,2,1,1,10,3,same+not+or,not|or|same,person_is:1+same:3+different:2+not:1+and:1+or:2,243,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0136,KKK,3,2,2,1,1,1,10,3,not+or+same,not|or|same,person_is:1+same:3+different:2+not:1+and:2+or:1,244,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0137,KKN,4,1,3,2,2,3,15,3,or+not+and,and|not|or,person_is:3+same:4+different:1+not:2+and:3+or:2,321,KNN,0,KNN,0,KNN,0,KNN,0,KNK,0
row_0138,NKK,2,2,0,2,2,1,9,3,same+not+or,not|or|same,person_is:1+same:2+different:2+not:2+or:2,222,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0139,KNN,3,1,2,1,0,2,9,3,different+and+or,and|different|or,person_is:2+same:3+different:1+and:2+or:1,209,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0140,NNK,2,1,0,1,3,1,8,3,person_is+or+not,not|or|person_is,person_is:1+same:2+different:1+not:3+or:1,190,NNK,1,NNK,1,NNK,1,NNK,1,NNK,1
row_0141,KNN,1,2,0,2,0,2,7,3,or+different+person_is,different|or|person_is,person_is:2+same:1+different:2+or:2,163,KNN,1,KNN,1,KNN,1,KNN,1,KNN,1
row_0142,KNK,3,2,0,3,0,1,9,3,or+or+different,different|or|or,person_is:1+same:3+different:2+or:3,224,KNN,0,KNK,1,KNK,1,KNK,1,KNK,1
row_0143,NKN,2,0,0,0,1,1,4,2,person_is+not+same,not|person_is|same,person_is:1+same:2+not:1,102,NKN,1,NKN,1,NKN,1,NKN,1,NKN,1
row_0144,NKK,2,2,0,3,0,2,9,3,person_is+or+or,or|or|person_is,person_is:2+same:2+different:2+or:3,210,KNK,0,KNK,0,KNK,0,KNK,0,KNK,0
row_0145,KNN,0,2,2,0,1,3,8,3,different+and+not,and|different|not,person_is:3+different:2+not:1+and:2,167,NNN,0,KNN,1,NNN,0,KNN,1,NNN,0
row_0146,NKK,2,0,0,0,1,1,4,2,person_is+same+not,not|person_is|same,person_is:1+same:2+not:1,101,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0147,KKN,1,2,0,2,2,2,9,3,or+not+person_is,not|or|person_is,person_is:2+same:1+different:2+not:2+or:2,202,KNK,0,KNK,0,KNK,0,KNK,0,KKN,1
row_0148,KKK,1,1,1,0,1,2,6,3,person_is+same+and,and|person_is|same,person_is:2+same:1+different:1+not:1+and:1,133,KKK,1,KKK,1,KKK,1,KKK,1,KKK,1
row_0149,NKK,0,1,0,1,0,3,5,2,person_is+or+person_is,or|person_is|person_is,person_is:3+different:1+or:1,101,NKK,1,NKK,1,NKK,1,NKK,1,NKK,1
row_0150,NNK,3,5,2,4,1,1,16,3,and+and+or,and|and|or,person_is:1+same:3+different:5+not:1+and:2+or:4,390,NNK,1,NNK,1,NKK,0,NNK,1,NNK,1
row_0151,KNN,2,0,0,1,2,2,7,3,person_is+or+person_is,or|person_is|person_is,person_is:2+same:2+not:2+or:1,151,NKK,0,NKK,0,NKK,0,NKK,0,NNK,0
